Order Date,Customer ID,Segment,Region,Category,Sub-Category,Sales,Quantity,Profit,Month,Profit Margin
2016-11-08,CG-12520,Consumer,South,Furniture,Bookcases,261.96,2,41.9136,2016-11,0.16000000000000003
2016-11-08,CG-12520,Consumer,South,Furniture,Chairs,731.94,3,219.582,2016-11,0.3
2016-06-12,DV-13045,Corporate,West,Office Supplies,Labels,14.62,2,6.8714,2016-06,0.47000000000000003
2015-10-11,SO-20335,Consumer,South,Furniture,Tables,957.5775,5,-383.031,2015-10,-0.4
2015-10-11,SO-20335,Consumer,South,Office Supplies,Storage,22.368,2,2.5164,2015-10,0.1125
2014-06-09,BH-11710,Consumer,West,Furniture,Furnishings,48.86,7,14.1694,2014-06,0.29
2014-06-09,BH-11710,Consumer,West,Office Supplies,Art,7.28,4,1.9656,2014-06,0.27
2014-06-09,BH-11710,Consumer,West,Technology,Phones,907.152,6,90.7152,2014-06,0.09999999999999999
2014-06-09,BH-11710,Consumer,West,Office Supplies,Binders,18.504,3,5.7825,2014-06,0.31249999999999994
2014-06-09,BH-11710,Consumer,West,Office Supplies,Appliances,114.9,5,34.47,2014-06,0.3
2014-06-09,BH-11710,Consumer,West,Furniture,Tables,1706.184,9,85.3092,2014-06,0.05
2014-06-09,BH-11710,Consumer,West,Technology,Phones,911.424,4,68.3568,2014-06,0.07500000000000001
,AA-10480,Consumer,South,Office Supplies,Paper,15.552,3,5.4432,,0.35000000000000003
2016-12-05,IM-15070,Consumer,West,Office Supplies,Binders,407.976,3,132.5922,2016-12,0.32499999999999996
,HP-14815,Home Office,Central,Office Supplies,Appliances,68.81,5,-123.858,,-1.8
,HP-14815,Home Office,Central,Office Supplies,Binders,2.544,3,-3.816,,-1.5
2014-11-11,PK-19075,Consumer,Central,Office Supplies,Storage,665.88,6,13.3176,2014-11,0.02
,AG-10270,Consumer,West,Office Supplies,Storage,55.5,2,9.99,,0.18
,ZD-21925,Consumer,West,Office Supplies,Art,8.56,2,2.4824,,0.29
,ZD-21925,Consumer,West,Technology,Phones,213.48,3,16.011,,0.075
,ZD-21925,Consumer,West,Office Supplies,Binders,22.72,4,7.384,,0.325
2016-12-09,KB-16585,Corporate,Central,Office Supplies,Art,19.46,7,5.0596,2016-12,0.25999999999999995
2016-12-09,KB-16585,Corporate,Central,Office Supplies,Appliances,60.34,7,15.6884,2016-12,0.25999999999999995
,SF-20065,Consumer,East,Furniture,Chairs,71.372,2,-1.0196,,-0.014285714285714287
,EB-13870,Consumer,West,Furniture,Tables,1044.63,3,240.2649,,0.22999999999999998
